Match Number,Round Number,Date,Location,Home Team,Away Team,Result
11,1,12/09/2021 17:00,Paul Brown Stadium,Cincinnati Bengals,Minnesota Vikings,27 - 24
21,2,19/09/2021 20:05,State Farm Stadium,Arizona Cardinals,Minnesota Vikings,34 - 33
35,3,26/09/2021 20:25,U.S. Bank Stadium,Minnesota Vikings,Seattle Seahawks,30 - 17
59,4,03/10/2021 17:00,U.S. Bank Stadium,Minnesota Vikings,Cleveland Browns,7 - 14
71,5,10/10/2021 17:00,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,19 - 17
92,6,17/10/2021 17:00,Bank of America Stadium,Carolina Panthers,Minnesota Vikings,28 - 34
109,8,01/11/2021 00:20,U.S. Bank Stadium,Minnesota Vikings,Dallas Cowboys,16 - 20
131,9,07/11/2021 18:00,M&T Bank Stadium,Baltimore Ravens,Minnesota Vikings,34 - 31
141,10,14/11/2021 21:05,SoFi Stadium,Los Angeles Chargers,Minnesota Vikings,20 - 27
163,11,21/11/2021 18:00,U.S. Bank Stadium,Minnesota Vikings,Green Bay Packers,34 - 31
169,12,28/11/2021 21:25,Levi's Stadium,San Francisco 49ers,Minnesota Vikings,34 - 26
188,13,05/12/2021 18:00,Ford Field,Detroit Lions,Minnesota Vikings,29 - 27
208,14,10/12/2021 01:20,U.S. Bank Stadium,Minnesota Vikings,Pittsburgh Steelers,36 - 28
214,15,21/12/2021 01:15,Soldier Field,Chicago Bears,Minnesota Vikings,9 - 17
231,16,26/12/2021 18:00,U.S. Bank Stadium,Minnesota Vikings,Los Angeles Rams,23 - 30
242,17,03/01/2022 01:20,Lambeau Field,Green Bay Packers,Minnesota Vikings,37 - 10
265,18,09/01/2022 18:00,U.S. Bank Stadium,Minnesota Vikings,Chicago Bears,31 - 17
